spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	awe-fear_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	awe-surprise_fear
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	curiosity-surprise_trust
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	curiosity-trust_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	delight-joy_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	delight-surprise_joy
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	despair-fear_sadness
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	despair-sadness_fear
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	disapproval-sadness_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	disapproval-surprise_sadness
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	outrage-anger_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	outrage-surprise_anger
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	unbelief-disgust_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	unbelief-surprise_disgust
spiceartefactHeadOfVespasian - Head of Vespasian	anxiety-anticipation_fear
spiceartefactHeadOfVespasian - Head of Vespasian	anxiety-fear_anticipation
spiceartefactHeadOfVespasian - Head of Vespasian	awe-fear_surprise
spiceartefactHeadOfVespasian - Head of Vespasian	awe-surprise_fear
spiceartefactHeadOfVespasian - Head of Vespasian	shame-disgust_fear
spiceartefactHeadOfVespasian - Head of Vespasian	shame-fear_disgust
spiceartefactHeadOfVespasian - Head of Vespasian	submission-fear_trust
spiceartefactHeadOfVespasian - Head of Vespasian	submission-trust_fear
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	awe-fear_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	awe-surprise_fear
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	curiosity-surprise_trust
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	curiosity-trust_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	delight-joy_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	delight-surprise_joy
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	despair-fear_sadness
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	despair-sadness_fear
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	disapproval-sadness_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	disapproval-surprise_sadness
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	outrage-anger_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	outrage-surprise_anger
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	unbelief-disgust_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	unbelief-surprise_disgust
spiceartefactHeadOfVespasian - Head of Vespasian	anxiety-anticipation_fear
spiceartefactHeadOfVespasian - Head of Vespasian	anxiety-fear_anticipation
spiceartefactHeadOfVespasian - Head of Vespasian	awe-fear_surprise
spiceartefactHeadOfVespasian - Head of Vespasian	awe-surprise_fear
spiceartefactHeadOfVespasian - Head of Vespasian	shame-disgust_fear
spiceartefactHeadOfVespasian - Head of Vespasian	shame-fear_disgust
spiceartefactHeadOfVespasian - Head of Vespasian	submission-fear_trust
spiceartefactHeadOfVespasian - Head of Vespasian	submission-trust_fear
spiceartefactPortraitofBerniece - Portrait of Berniece	hope-anticipation_trust
spiceartefactPortraitofBerniece - Portrait of Berniece	hope-trust_anticipation
spiceartefactportrai_tof_joseph_flavius - Portrait of Joseph Falvius	hope-anticipation_trust
spiceartefactportrai_tof_joseph_flavius - Portrait of Joseph Falvius	hope-trust_anticipation
spiceartefactportrai_tof_joseph_flavius - Portrait of Joseph Falvius	pessimism-anticipation_sadness
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	awe-fear_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	awe-surprise_fear
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	curiosity-surprise_trust
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	curiosity-trust_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	delight-joy_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	delight-surprise_joy
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	despair-fear_sadness
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	despair-sadness_fear
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	disapproval-sadness_surprise
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	disapproval-surprise_sadness
spiceartefactBarKochvaRebellion - Bar Kochva Rebellion	outrage-anger_surprise
