aggressiveness-anger_anticipation	3
aggressiveness-anticipation_anger	3
anxiety-anticipation_fear	1
anxiety-fear_anticipation	1
awe-fear_surprise	2
awe-surprise_fear	2
contempt-anger_disgust	3
contempt-disgust_anger	3
curiosity-surprise_trust	2
curiosity-trust_surprise	2
delight-joy_surprise	1
delight-surprise_joy	1
despair-sadness_fear	1
